# JLPT 词汇级别表 —— server/scripts/buildJlptVocab.ts 生成，勿手改。
# 出題基準語彙表 https://www7a.biglobe.ne.jp/nifongo/data/noryoku.html
# JLPT Resources by Jonathan Waller (CC BY) http://www.tanos.co.uk/jlpt/
#   词形经 https://github.com/stephenmk/yomitan-jlpt-vocab 按 JMdict 校正
ねっしん	4
のこぎり	2
のろのろ	2
のんびり	23
はあ	23
はい	5
はきはき	2
はじめまして	2
はっきり	4
はめる	2
はらはら	1
ばからしい	2
ばかり	4
ばったり	23
ばつ	2
ばてる	1
ばね	2
ひとまず	2
ひとりでに	2
ひどい	4
ひゃっかじてん	2
ひょっと	1
びっくり	4
びっしょり	1
びら	1
びり	1
ぴかぴか	2
ぴたり	2
ぴったり	23
ふざける	2
ふと	2
ふらふら	1
ふわふわ	2
ふんだん	1
ぶかぶか	1
ぶつかる	2
ぶつける	2
ぶつぶつ	2
ぶらさげる	2
ぶらぶら	1
ぶら下げる	12
へそ	2
ぺこぺこ	1
ほか	5
ほっと	1
ほとんど	4
ほどく	2
ほめる	4
ぼつぼつ	1
ぼやく	1
ぼやける	1
ぼろ	2
ぼんやり	23
ぽい	2
まあ	23
まあまあ	2
まごまご	2
まさか	23
まさに	3
まじめ	4
ますます	3
またぐ	2
または	4
まだ	5
まっすぐ	5
まぶしい	2
まぶた	2
まま	4
まみれ	1
まるで	23
み	2
みじめ	2
みたい	2
みっともない	2
みんな	5
めちゃくちゃ	2
めっきり	2
めでたい	2
めまい	2
もう	5
もうすぐ	4
もう一つ	4
もう一度	5
もう直ぐ	4
もし	4
もしかしたら	2
もしかすると	2
もしも	3
もしもし	5
もたれる	2
もちろん	4
もったいない	2
もっと	5
もらう	4
もろに	1
やかましい	2
やがて	3
やたら	2
やっつける	2
やっと	4
やっぱり	4
やっ付ける	1
やはり	4
やむをえない	2
やむを得ない	2
やや	3
ややこしい	1
やり遂げる	1
ゆっくり	5
ゆっくりと	5
ゆでる	2
ゆとり	1
よいしょ	2
よく	4
よこす	2
よし	1
より	25
よろしい	4
わがまま	3
わざと	3
わりあいに	2
アイスクリーム	23
アイデア	2
アイディア	2
アイロン	23
アウト	23
アクセサリー	4
アクセル	1
アクセント	2
アジア	4
アップ	1
アナウンサー	4
アパート	5
アフリカ	4
アプローチ	1
アマチュア	1
アメリカ	4
アラブ	1
アルカリ	1
アルコール	4
アルバイト	4
アルバム	23
アルミ	1
アワー	1
アンケート	1
アンコール	1
アンテナ	2
イエス	1
イコール	2
イメージ	2
インキ	2
インク	23
インタビュー	2
インターチェンジ	1
インターナショナル	1
インターフォン	1
インテリ	1
インフォメーション	1
インフレ	1
ウイスキー	23
ウイルス	1
ウェートレス	1
ウエイトレス	2
ウエートレス	2
ウーマン	2
ウール	2
エアメール	1
エスカレーター	4
エチケット	2
エネルギー	23
エプロン	2
エレガント	1
エレベーター	5
エンジニア	1
エンジン	23
オイル	2
オフィス	23
オリエンテーション	1
オリンピック	2
オルガン	2
オレンジ	12
オンライン	1
オーケストラ	2
オーケー	1
オートバイ	4
オートマチック	1
オートマティク	1
オートメーション	2
オーバー	234
オーバーする	1
オーバーコート	2
オープン	1
カクテル	1
カセット	2
カセットテープ	2
カット	1
カップ	5
カテゴリー	1
カバー	2
カムバック	1
カメラ	5
カメラマン	1
カラー	2
カルテ	1
カレンダー	5
カレー	5
カロリー	2
カンニング	1
カー	23
カーテン	4
カード	23
カーブ	2
カーペット	1
ガイド	1
ガイドブック	1
ガス	4
ガソリン	4
ガソリンスタンド	4
ガム	2
ガラス	4
ガレージ	1
キャッチ	1
キャプテン	23
キャリア	1
キャンパス	2
キャンプ	23
キロ	25
キログラム	5
キロメートル	5
ギター	5
ギャング	2
クイズ	1
クラシック	23
クラス	5
クラブ	1
クリスマス	23
クリーニング	2
クリーム	23
クレーン	1
クーラー	2
グラス	35
グラフ	12
グラム	25
グランド	23
グループ	23
グレー	1
ケーキ	4
ケース	123
ゲスト	1
ゲーム	23
コック	2
コップ	5
コピー	5
コピーする	5
コマーシャル	1
コミュニケーション	12
コメント	1
コレクション	2
コンクリート	2
コンクール	2
コンサート	4
コンセント	2
コンタクト	1
コンタクトレンズ	1
コンテスト	1
コントラスト	1
コントロール	1
コンパス	1
コンピュータ	4
コンピューター	4
コース	2
コーチ	23
コート	5
コート(coat)	2
コート(court)	2
コート(overcoat)	5
コード	23
コーナー	1
コーヒー	5
コーラス	2
ゴム	2
ゴール	23
サイクル	1
サイズ	1
サイレン	2
サイン	23
サボる	1
サラダ	4
サラリーマン	2
サンキュー	1
サンタクロース	1
サンダル	4
サンドイッチ	4
サンプル	2
サークル	2
サービス	23
システム	1
シック	1
シナリオ	1
シャッター	2
シャツ	5
シャワー	5
ショック	1
ショップ	2
ショー	1
シリーズ	2
シーズン	2
シーツ	2
シート	1
ジェット機	23
ジャズ	1
ジャム	4
ジャンパー	1
ジャンプ	1
ジャンボ	1
ジャンル	1
ジャーナリスト	2
ジュース	23
ジーパン	1
ジーンズ	23
スイッチ	23
スカート	5
スカーフ	2
スキー	23
スクリーン	4
スクール	2
スケジュール	2
スケート	23
スタイル	23
スタジオ	1
スタンド	23
スター	23
スタート	2
スチュワーデス	2
スチーム	1
ステレオ	4
ステーキ	4
ステージ	2
スト	1
ストッキング	2
ストップ	2
ストライキ	1
ストレス	1
ストロボ	1
ストロー	1
ストーブ	5
スピーカー	2
スピーチ	23
スピード	12
スプリング	1
スプーン	5
スペース	1
スポーツ	5
スポーツカー	1
スマート	2
スライド	2
スラックス	1
スリッパ	5
スーツ	4
スーツケース	4
スーパー	4
スーパーマーケット	4
スープ	23
ズボン	5
セクション	1
セックス	1
セット	23
セメント	2
セレモニー	1
センス	1
センター	23
センチ	2
センチメートル	2
セーター	5
セール	1
ゼミ	2
ゼリー	1
ゼロ	5
ソックス	1
ソファー	23
ソフト	4
ソロ	1
ソース	1
タイア	2
タイトル	1
タイピスト	1
タイプ	4
タイプライター	23
タイマー	1
タイミング	1
タイム	1
タイムリー	1
タイヤ	12
タイル	1
タオル	23
タクシー	5
タレント	1
タワー	1
ダイヤ	23
ダイヤグラム	2
ダイヤモンド	2
ダイヤル	2
ダウン	1
ダブる	12
ダブル	12
ダム	2
ダンス	23
ダンプ	1
ダース	1
チェック	4
チェックする	4
チェンジ	1
チップ	2
チャイム	1
チャンス	23
チャンネル	1
チョーク	2
チーズ	23
チーム	23
チームワーク	1
ティッシュ	1
ティッシュペーパー	1
テキスト	4
テスト	5
テニス	4
テニスコート	2
テレックス	1
テレビ	5
テント	23
テンポ	2
テーブル	5
テープ	5
テープレコーダー	5
テーマ	2
デコレーション	1
デザイン	1
デザート	1
デッサン	1
デパート	5
デモ	23
デモンストレーション	1
データ	1
デート	23
トイレ	5
トップ	23
トラック	23
トラブル	1
トランジスター	1
トランプ	23
トレーニング	2
トン	2
トンネル	23
トーン	1
ド	3
ドア	5
ドライ	1
ドライクリーニング	1
ドライバー	1
ドライブ	23
ドライブイン	1
ドラマ	23
ドリル	1
ドレス	23
ナイター	1
ナイフ	5
ナイロン	2
ナプキン	1
ナンセンス	1
ナンバー	2
ニュアンス	1
ニュー	1
ニュース	5
ネガ	1
ネクタイ	5
ネックレス	2
ノイローゼ	1
ノック	23
ノー	3
ノート	5
ハイキング	23
ハンカチ	5
ハンガー	1
ハンサム	23
ハンドバッグ	24
ハンドル	2
ハンバーグ	4
バイオリン	23
バイバイ	2
バケツ	2
バス	15
バター	5
バック	2
バッグ	23
バッジ	1
バッテリー	1
バット	1
バランス	2
バン	23
バンド	2
バー	1
パイプ	23
パイロット	23
パジャマ	1
パス	23
パスポート	23
パソコン	4
パターン	2
パチンコ	1
パトカー	1
パパ	4
パン	5
パンク	1
パンツ	2
パーセント	23
パーティー	5
パート	4
パートタイム	4
ヒント	1
ビジネス	1
ビタミン	2
ビデオ	23
ビニール	2
ビル	24
ビルディング	2
ビール	23
ビールス	1
ピアノ	4
ピクニック	23
ピストル	2
ピン	23
ピンク	2
ファイト	1
ファイル	1
ファスナー	2
ファックス	4
ファン	1
フィルター	1
フィルム	5
フェリー	1
フォーク	5
フォーム	1
フライパン	2
フリー	2
フロント	1
ブザー	1
ブラウス	2
ブラシ	2
ブルー	1
ブレーキ	23
ブローチ	2
ブーツ	1
ブーム	1
プラス	23
プラスチック	2
プラットホーム	2
プラン	23
プリント	2
プレゼント	4
プロ	23
プログラム	2
プール	5
ヘリコプター	2
ベスト	1
ベストセラー	1
ベッド	5
ベテラン	2
ベル	24
ベルト	23
ベンチ	23
ベース	1
ペア	1
ペット	5
ペン	5
ペンキ	23
ペンチ	2
ページ	5
ホテル	5
ホース	1
ホーム	23
ホール	1
ボイコット	1
ボタン	5
ボルト	1
ボーイ	23
ボート	23
ボーナス	2
ボール	23
ボールペン	5
ポイント	1
ポケット	5
ポジション	1
ポスター	2
ポスト	5
ポット	1
ポンプ	1
ポーズ	1
マイ	1
マイク	23
マイクロフォン	1
マイナス	2
マスク	2
マスコミ	1
マスター	23
マッサージ	1
マッチ	5
マフラー	2
ママ	23
マラソン	2
マンション	2
マーク	1
マーケット	23
ミシン	2
ミス	123
ミスプリント	1
ミセス	1
ミュージック	1
ミリ	2
ミリメートル	2
ミルク	23
ムード	1
メッセージ	1
メディア	1
メニュー	2
メモ	23
メロディー	1
メンバー	23
メーカー	1
メーター	2
メートル	5
メール	2
モダン	2
モデル	2
モニター	1
モノレール	2
モーター	2
モーテル	1
ヤング	1
ユニフォーム	1
ユニーク	1
ユーモア	23
ヨット	23
ヨーロッパ	23
ライス	1
ライター	23
ライト	2
ライバル	1
ラケット	23
ラジオ	5
ラジオカセット	5
ラジカセ	5
ラッシュアワー	2
ラベル	1
ランチ	2
ランニング	2
ランプ	1
リズム	2
リットル	2
リボン	2
リポート	4
リード	1
ルーズ	1
ルール	1
レインコート	2
レギュラー	1
レクリェーション	2
レクリエーション	12
レコード	5
レジ	4
レジャー	2
レストラン	5
レッスン	1
レディー	1
レバー	1
レベル	2
レポート	4
レンジ	1
レンズ	2
レンタカー	1
レントゲン	1
レース	1
ロケット	23
ロッカー	2
ロビー	2
ロマンチック	1
ロマンティック	1
ロープ	1
ロープウエイ	1
ローマじ	2
ローマ字	12
ワイシャツ	5
ワイン	23
ワット	1
ワンピース	2
ワープロ	4
ヶ月	1
一	25
一々	15
一つ	5
一まず	1
一人	15
一人でに	1
一人一人	23
一休み	2
一体	35
一先ず	2
一切	1
一別	1
一同	1
一向	1
一変	1
一定	12
一家	23
一寸	15
一層	23
一帯	1
一度	4
一度に	23
一律	1
一心	1
一応	2
一息	1
一括	1
一挙に	1
一敗	1
一斉	2
一斉に	2
一方	23
一日	15
一旦	2
一昨々日	2
一昨年	25
一昨日	25
一昨昨日	1
一時	23
一月	5
一杯	4
一概に	1
一様	1
一段	2
一段と	2
一気	1
一流	2
一生	23
一生懸命	4
一番	35
一目	1
一瞬	23
一種	23
一筋	1
一緒	5
一致	23
一般	34
一般に	4
一見	1
一言	123
一通り	2
一連	1
一部	12
一部分	1
一面	1
一頃	1
丁々	1
丁寧	4
丁度	5
丁目	12
七	25
七つ	5
七日	15
万	15
万が一	2
万一	23
万人	1
万年筆	5
万歳	2
万能	1
丈	1
丈夫	15
三	15
三つ	5
三味線	1
三日	5
